,City,Cloudiness,Country,Latitude,Longitude,Humidity,Max Temp,Wind Speed
379,coolum beach,1,AU,-26.5333,153.1,63,18.39,0.45
380,narsipatnam,98,IN,17.6667,82.6167,82,27.67,4.21
381,teya,8,RU,60.3778,92.6267,46,21.65,2.91
383,chicama,31,PE,-7.8447,-79.1469,84,18.13,2.62
384,gay,26,RU,51.4666,58.4552,61,24.28,1.76
385,ayr,0,AU,55.4627,-4.6339,94,15.87,0
386,samarai,91,PG,-10.6167,150.6667,72,25.83,5.98
387,eenhana,0,NA,-17.4667,16.3333,36,8.73,3.43
388,cayenne,0,GF,4.9333,-52.3333,84,27.83,0.45
389,tiznit,5,MA,29.5833,-9.5,30,28.92,4.41
390,ersekcsanad,3,HU,46.2535,18.9846,57,17.73,1.84
391,bomet,9,KE,-0.7813,35.3416,77,13.81,2.51
392,glenwood springs,90,US,39.5505,-107.3248,62,25.51,4.63
393,pedernales,69,DO,18.0384,-71.744,73,26.96,2.95
394,chunhuhub,0,MX,19.55,-88.6833,99,23.02,1.15
395,bama,100,NG,11.5221,13.6856,81,24.73,4.78
396,lata,93,SB,40.1629,-8.3327,92,16.62,1.39
398,bunia,94,CD,1.5667,30.25,86,18.6,0.93
399,isangel,75,VU,-19.55,169.2667,78,26.06,2.57
401,codrington,100,AG,-38.2667,141.9667,68,10.46,7.01
402,doha,0,KW,25.2867,51.5333,44,39.17,5.14
403,sambava,38,MG,-14.2667,50.1667,76,22.44,5.8
404,lewistown,1,US,40.5992,-77.5714,82,18.93,0
405,aykhal,53,RU,66,111.5,66,18.5,4.99
406,matara,100,LK,5.9485,80.5353,85,27.18,6.46
407,lubango,0,AO,-14.9172,13.4925,31,10.6,2.43
408,byron bay,59,AU,-28.65,153.6167,64,20.03,3.01
409,kawalu,45,ID,-7.3817,108.2082,53,30.29,2.5
410,acapulco,77,MX,16.8634,-99.8901,85,26.72,3.52
411,zemio,100,CF,5.0314,25.1361,89,20.55,1.13
412,vila velha,75,BR,-20.3297,-40.2925,100,16.97,1.03
413,tigil,98,RU,57.8,158.6667,54,21.23,3.87
414,souillac,51,MU,-20.5167,57.5167,61,23.53,7.77
415,bairiki,20,KI,1.3292,172.9752,70,31,4.63
416,glyadyanskoye,82,RU,54.9075,65.0883,69,25.29,0.76
417,winsum,9,NL,53.33,6.5208,85,16.1,2.44
418,yura,9,PE,-16.2522,-71.6797,31,11.98,1.24
419,sokoni,22,TZ,-6.4333,39.55,80,24.32,5.21
420,amarante do maranhao,32,BR,-5.5667,-46.7422,66,21.62,0.89
421,necochea,100,AR,-38.5473,-58.7368,75,8.1,4.95
422,yangambi,95,CD,0.8102,24.4336,70,22.28,0.99
423,araci,27,BR,-11.3333,-38.9667,98,17.91,2.25
424,sayyan,73,YE,15.1718,44.3244,80,15.89,3.5
425,xining,23,CN,36.6167,101.7667,35,28.36,2.66
426,coihaique,90,CL,-45.5752,-72.0662,71,9.97,4.12
427,bagdarin,100,RU,54.4333,113.6,98,13.74,1.97
428,narasannapeta,100,IN,18.4167,84.05,67,30.18,3.81
429,gejiu,78,CN,23.306,103.1635,73,20.93,1.26
430,mayor pablo lagerenza,62,PY,-19.9309,-60.7718,32,16.17,1.51
431,flin flon,10,CA,54.7682,-101.865,84,19.79,2.99
432,lugo,99,ES,43,-7.5,99,17.09,2.68
433,diego de almagro,4,CL,-26.3667,-70.05,17,15.94,1.54
434,berbera,14,SO,10.4396,45.0143,38,33.15,15.04
435,tithorea,13,GR,38.5846,22.6675,51,24.63,2.21
436,new cumnock,5,GB,55.3956,-4.1846,89,14.73,0.97
438,peddapalli,100,IN,18.6167,79.3667,89,25.1,7.68
439,muros,33,ES,42.7762,-9.0603,88,17.77,1.68
440,kieta,89,PG,-6.2167,155.6333,85,26.99,2.04
442,quimperle,0,FR,47.8667,-3.55,77,22.19,3.09
443,porto novo,77,CV,6.4965,2.6036,76,24.44,4.32
444,qaqortoq,66,GL,60.7167,-46.0333,97,7.28,1.06
445,oudtshoorn,100,ZA,-33.5907,22.2014,96,5.06,4.71
446,bukama,0,CD,-9.2,25.85,38,18.89,2.09
447,sri aman,100,MY,1.2376,111.4621,56,31.32,1.53
448,donskoye,30,RU,45.4552,41.9741,69,27.96,6.29
449,sterling,40,US,39.0062,-77.4286,83,22.92,3.13
450,san fernando,100,MX,15.0286,120.6898,87,27.76,5.95
451,maralal,59,KE,1.0968,36.698,76,14.78,1.67
452,carutapera,20,BR,-1.195,-46.02,94,23.41,1.88
453,tazovskiy,100,RU,67.4667,78.7,94,15.71,10.34
454,panguna,87,PG,-6.3164,155.4848,92,23.14,1.06
455,olafsvik,100,IS,64.8945,-23.7142,96,11.15,5.53
457,the valley,2,AI,18.217,-63.0578,76,27.83,9.36
459,constitucion,100,MX,-35.3333,-72.4167,88,11.46,0.67
460,murgab,10,TM,37.4966,61.9714,14,36.89,1.32
462,broken hill,100,AU,-31.95,141.4333,65,7.18,11.71
463,tombouctou,64,ML,20,-3,39,32.54,5.12
464,bapatla,100,IN,15.9,80.4667,92,23.88,10.87
465,bogande,94,BF,12.9714,-0.1436,59,27.44,5.62
